ubicacion,cod,descripcion,ff,laboratorio,lote,fv,presentacion,stock_inicial,entrada,salida,stoc_actual,precio_venta,comentarios
EUCERIN,P83,EUCERIN ATOPI CONTROL CREMA FORTE X 100 ML,CREMA,EUCERIN,,,UND,1,0,1,0, 100.00 ,
EUCERIN,P84,EUCERIN ATOPI CONTROL SPRAY CALMANTE X 50 ML,SPRAY,EUCERIN,,,UND,1,0,1,0, 80.00 ,
EUCERIN,P85,EUCERIN CARING OIL ACEITES NATURALES X 125 ML,ACEITE,EUCERIN,22857516,,UND,1,0,1,0, 99.00 ,
EUCERIN,P86,EUCERIN DERMO CAPILLAIRE SHAMPOO ANTI-CAIDA X 250 ML ,FCO,EUCERIN,14564557,,UND,1,0,1,0, 109.00 ,
EUCERIN,P87,EUCERIN DERMO PURE OIL CONTROL GEL DE LIMPIEZA X 200 ML,GEL,EUCERIN,24555216,,UND,1,0,1,0, 77.90 ,
EUCERIN,P88,EUCERIN DERMO PURE OIL CONTROL TRIPLE EFFECT SERUM FACIAL X 40 ML,FCO,EUCERIN,33421612FQ,,UND,2,2,4,0, 125.90 ,
EUCERIN,P89,EUCERIN HYALURON FILLER + ELASTICITY DIA C/FPS 30 X 50 ML,CREMA,EUCERIN,23832176,,UND,2,0,2,0, 188.00 ,
EUCERIN,P90,EUCERIN HYALURON FILLER +3X EFFECT  DIA SPF 30 X 50 ML,CREMA,EUCERIN,30658076,,UND,3,0,3,0, 168.90 ,
EUCERIN,P91,EUCERIN HYALURON FILLER +3X EFFECT PORE MINIMIZER SEUM X 30 ML,SERUM,EUCERIN,30266777/30947277/30947377,jun-25,UND,2,3,2,3, 182.90 ,
EUCERIN,P92,EUCERIN HYDRO FLUID TEXTURA-LIGRERA FACIAL X 50 ML,FCO,EUCERIN,33925876,sep-26,UND,3,2,4,1, 109.90 ,
EUCERIN,P93,EUCERIN OIL CONTROL TINTED ANTI-BRILLO TOQUE SECO TONO CLARO X 50 ML,FCO,EUCERIN,21853557,,UND,1,0,1,0, 109.00 ,
EUCERIN,P94,EUCERIN PH5 ADVANCED REPAIR X 450 ML,CREMA,EUCERIN,,,UND,1,0,1,0, 109.00 ,
EUCERIN,P95,EUCERIN PH5 LOCION HIDRATANTE  X 250 ML,LOCION,EUCERIN,,,UND,1,0,1,0, 92.00 ,
EUCERIN,P96,EUCERIN ANTI-PIGMENT CREMA CONTORNO DE OJOS X 15 ML,CREMA,EUCERIN,42115376,may-27,UND,2,1,2,1, 158.00 ,
EUCERIN,P97,EURECIN ANTI-PIGMENT DUAL SERUM FACIAL X 30 ML,FCO,EUCERIN,,,UND,1,0,1,0, 184.00 ,
M-1,P98,FINURA SHAMPOO 2 EN 1 ANTIOXIDANTE X 473 ML,FCO,CORPORACION H&K ,C2122,,UND,1,0,1,0, 120.00 ,
V-1,P99,FISSDOK SHAMPOO ANTICAIDA X 200 ML,FCO,FISSION LAB,223404/222903/409501,ago-25,UND,2,6,3,5, 67.00 ,
